edition_id,ad_category,quarter,ad_revenue,currency,comments
ED1005,A001,2023-Q2,22613.69,EUR,
ED1005,A002,Q1-2019,39366.88,USD,
ED1001,A003,Q3-2023,3709860,INR,
ED1003,A002,Q3-2023,40969.55,USD,
ED1007,A003,4th Qtr 2020,51779.4,USD,
ED1001,A001,2024-Q2,4790190,INR,
ED1001,A003,2024-Q2,4571581,INR,
ED1003,A002,Q1-2019,2719829,INR,
ED1005,A002,2019-Q2,3071973,INR,
ED1006,A001,Q3-2021,1555116,INR,
ED1010,A002,4th Qtr 2023,4669088,INR,
ED1007,A002,2020-Q2,4955352,INR,
ED1001,A002,2022-Q2,49883.14,EUR,
ED1002,A003,2021-Q2,4450464,INR,
ED1006,A001,4th Qtr 2024,1034680,INR,
ED1005,A003,2022-Q2,1348728,INR,
ED1002,A004,Q1-2020,1268118,INR,
ED1009,A004,2023-Q2,2924089,INR,
ED1004,A002,Q3-2022,2576243,INR,
ED1003,A002,4th Qtr 2024,27357.18,USD,
ED1007,A004,Q1-2020,4539802,INR,
ED1006,A003,Q3-2019,3066125,INR,Seasonal drop in demand
ED1001,A002,4th Qtr 2021,4288952,INR,
ED1010,A001,Q1-2022,2750538,INR,
ED1007,A003,4th Qtr 2022,4542127,INR,
ED1005,A001,4th Qtr 2021,2013545,INR,
ED1004,A001,Q1-2022,4448644,INR,
ED1003,A001,Q3-2024,4048442,INR,
ED1002,A002,Q1-2023,1924178,INR,
ED1002,A004,Q1-2024,1020381,INR,
ED1006,A003,4th Qtr 2023,4644944,INR,
ED1006,A004,2019-Q2,4384750,IN RUPEES,
ED1005,A002,Q1-2023,2445554,IN RUPEES,
ED1006,A004,2020-Q2,4843897,INR,
ED1008,A004,Q3-2024,3051940,INR,
ED1009,A001,Q1-2024,2561869,INR,
ED1010,A001,Q3-2024,2354447,INR,
ED1008,A001,2024-Q2,1388920,INR,
ED1009,A002,Q3-2019,16343.53,USD,
ED1007,A003,Q1-2024,3348030,INR,
ED1005,A002,Q1-2020,4107380,INR,
