,city_id,quarter,literacy_rate,smartphone_penetration,internet_penetration
0,C001,2019-Q1,89.16,75.76,56.53
1,C001,2019-Q2,88.76,76.45,55.97
2,C001,2019-Q3,88.83,75.32,56.52
3,C001,2019-Q4,89.25,75.83,56.94
4,C001,2020-Q1,89.13,75.03,56.45
5,C001,2020-Q2,89.06,76.56,56.44
6,C001,2020-Q3,89.1,74.44,55.7
7,C001,2020-Q4,89.17,76.92,55.74
8,C001,2021-Q1,88.99,75.08,55.0
9,C001,2021-Q2,88.94,73.69,58.15
10,C001,2021-Q3,89.14,75.25,55.16
11,C001,2021-Q4,88.9,74.44,55.71
12,C001,2022-Q1,89.18,75.96,55.68
13,C001,2022-Q2,88.76,74.47,57.29
14,C001,2022-Q3,89.31,74.67,56.11
15,C001,2022-Q4,89.19,73.23,57.65
16,C001,2023-Q1,89.15,74.67,55.73
17,C001,2023-Q2,89.3,72.7,56.68
18,C001,2023-Q3,89.43,73.54,55.56
19,C001,2023-Q4,89.3,75.88,58.55
20,C001,2024-Q1,88.73,75.91,55.21
21,C001,2024-Q2,88.84,75.55,56.71
22,C001,2024-Q3,88.98,74.15,57.03
23,C001,2024-Q4,89.11,75.07,56.81
24,C002,2019-Q1,70.7,48.49,48.58
25,C002,2019-Q2,70.45,47.33,48.64
26,C002,2019-Q3,70.64,49.99,48.81
27,C002,2019-Q4,70.45,49.37,48.62
28,C002,2020-Q1,70.48,48.27,49.73
29,C002,2020-Q2,70.32,48.52,50.98
30,C002,2020-Q3,70.42,48.7,48.21
31,C002,2020-Q4,70.33,46.45,47.4
32,C002,2021-Q1,70.4,48.24,48.68
33,C002,2021-Q2,70.81,47.81,51.35
34,C002,2021-Q3,70.41,47.49,47.97
35,C002,2021-Q4,71.13,48.21,50.41
36,C002,2022-Q1,70.7,50.29,50.45
37,C002,2022-Q2,70.64,49.13,48.22
38,C002,2022-Q3,70.43,47.92,49.34
39,C002,2022-Q4,70.74,49.06,50.4
40,C002,2023-Q1,70.48,49.89,48.39
41,C002,2023-Q2,70.62,49.41,48.57
42,C002,2023-Q3,71.11,48.55,48.19
43,C002,2023-Q4,70.58,47.84,47.76
44,C002,2024-Q1,70.83,49.19,48.12
45,C002,2024-Q2,70.46,48.88,47.55
46,C002,2024-Q3,70.59,49.39,48.8
47,C002,2024-Q4,70.95,49.13,48.0
48,C003,2019-Q1,82.57,71.39,66.77
49,C003,2019-Q2,83.06,69.8,64.98
50,C003,2019-Q3,82.84,71.66,66.87
51,C003,2019-Q4,82.59,70.54,67.37
52,C003,2020-Q1,82.83,72.42,64.55
53,C003,2020-Q2,82.89,69.65,66.91
54,C003,2020-Q3,82.82,72.08,67.77
55,C003,2020-Q4,82.39,70.54,65.33
56,C003,2021-Q1,82.55,69.69,68.21
57,C003,2021-Q2,82.65,69.86,66.96
58,C003,2021-Q3,82.69,70.02,65.83
59,C003,2021-Q4,82.82,70.76,66.48
60,C003,2022-Q1,82.74,70.86,67.1
61,C003,2022-Q2,82.43,69.77,66.62
62,C003,2022-Q3,82.78,70.32,67.08
63,C003,2022-Q4,82.82,72.48,65.62
64,C003,2023-Q1,82.81,72.07,66.71
65,C003,2023-Q2,82.92,70.78,65.13
66,C003,2023-Q3,82.87,70.38,66.43
67,C003,2023-Q4,82.79,70.46,65.64
68,C003,2024-Q1,82.69,70.95,65.8
69,C003,2024-Q2,82.37,69.32,67.78
70,C003,2024-Q3,82.79,70.08,67.63
71,C003,2024-Q4,82.74,68.67,67.15
72,C004,2019-Q1,75.69,68.49,66.51
73,C004,2019-Q2,75.38,68.74,67.28
74,C004,2019-Q3,75.42,67.61,68.81
75,C004,2019-Q4,75.85,69.66,67.74
76,C004,2020-Q1,75.63,66.86,69.92
77,C004,2020-Q2,75.78,66.63,67.99
78,C004,2020-Q3,75.65,68.31,67.79
79,C004,2020-Q4,75.65,69.14,67.29
80,C004,2021-Q1,75.83,69.77,67.73
81,C004,2021-Q2,75.54,67.63,67.45
